Prompt,Completion
¿Cómo puedo configurar la protección antivirus en Windows 10?,"Windows 10 viene con Windows Defender, un programa antivirus integrado. Para configurar la protección antivirus, ve a la configuración de Windows Defender en el menú de inicio y ajusta las opciones de escaneo y protección en función de tus preferencias. También puedes considerar instalar un programa antivirus de terceros si lo prefieres."
¿Cómo puedo realizar una copia de seguridad de mis archivos en Windows 10?,"Para realizar una copia de seguridad de tus archivos en Windows 10, puedes utilizar la función de copia de seguridad integrada llamada 'Historial de archivos'. Ve a la configuración, selecciona 'Actualización y seguridad' y luego 'Copia de seguridad'. Allí, puedes configurar una unidad de copia de seguridad externa y elegir los archivos y carpetas que deseas incluir en la copia de seguridad."
"En Gexflow, cuando se envía un documento a la firma, una vez firmado, el documento que se anexa aparece apaisado (en horizontal) ajustándolo a la página, quedando el texto muy comprimido. ¿Qué puedo hacer?","Tres posibles soluciones. Escanear con otro escáner (por ejemplo, el 4001 funciona bien. Que recuerde, están afectados los modelos 3250 o algo así). Una vez escaneado, mandarlo a una impresora PDF, que hace un nuevo fichero igual, pero sin rotación, escanear en B/N"
¿Cómo puedo comprobar las notificaciones electrónicas en Gexfglow?,"Si tenemos una notificación puesta en la Sede Electrónica, el plazo de apertura de la misma son 10 días. Se puede comprobar el estado de la notificación desde la pestaña SEG. ENVIOS.  En esta pestaña, aparecerán tres fechas. Fecha envío: fecha en la que la notificación electrónica ha sido puesta a disposición del/ de la interesado/a en la carpeta ciudadana.  Esta fecha siempre tendrá un valor.. Fecha recepción: Fecha en que la notificación electrónica que ha sido puesta a disposición del/ de la interesado/a en la carpeta ciudadana ha sido aceptada.  Esta fecha sólo tendrá valor cuando la notificación electrónica haya sido aceptada o bien cuando el plazo máximo de apertura de la misma haya expirado, en cuyo caso el valor será el mismo que el de la fecha de plazo máximo. Fecha plazo máximo: Serán 10 días naturales más de la fecha de puesta a disposición del/de la interesado/a en la carpeta ciudadana (ver art. 43 Ley 39/2015).  Esta fecha siempre tendrá un valor."
"Me sale un error en gexflow al crear solicitud de informe, el error es QuitarDocumentoExpedienteDeSolicitud","Cuando se está creando una Solicitud de Informe, en la ventana de eliminar documentos, puede aparecer el error: Se ha producido una excepción en la accion de clase:solicitud.ctr.QuitarDocumentoExpedienteDeSolicitud (Ver más información). Esto es debido a que se han quitado más de 1000 documentos. La solución es No quitar 1000 de golpe y hacer dos tandas de 500."
"Gexflow no ha podido conectar con AutoFirma, Instalar autofirma.",Si funciona en chrome pero no en Firefox hay que instalar el certificado raíz de Autofirma en el almacén de certificados de confianza de Firefox
Cuando se procede a firmar un documento la sede devuelve el siguiente error SAF_20: error en el proceso local del lote de firma al firmar y tiene los servicios de Redtrust u otro sistema de certificados centralizados,Lo primero es consultar al ciudadano si tiene servicios con Redtrust u otro sistema de almacenamiento de certificados centralizados. Tendrán que informar a dicho proveedor de certificados que le solucionen el problema. Además tendrán que marcar en autofirma > Preferencias > General -> Solo aceptar conexiones con sitios seguros
Pulso el botón enviar de una instancia y no sucede nada,"Este fallo sucede porque la instancia es un archivo del tipo 'pdf' que debe ser abierto a través del programa Acrobat reader y no, a través del navegador."
La impresora no coge le papel,Es necesario limpiar con un paño húmedo los rodillos o con alcohol
La impresión sale muy clara,Es posible que esté activado el ahorro de toner. Cambiarlo en la configuraciónd de la impresora.
Mi pc no detecta la impresora que tengo conectada por USB pero ayer me funcionaba,"Siga los siguientes pasos, apagar la impresora, cambiar el cable usb de puerto, encender la impresora."
No puedo imprimir por la fotocopiadora de mi departamento,Póngase en contacto con la empresa de mantenimiento. Podrá ver sus datos en la misma máquina.
¿Cómo puedo importar marcadores desde otro navegador a Firefox?,"Para importar marcadores desde otro navegador a Firefox, abre Firefox y haz clic en el menú de tres líneas en la esquina superior derecha. Selecciona 'Marcadores' y luego 'Mostrar todos los marcadores'. En la ventana de biblioteca de marcadores, haz clic en 'Importar y respaldar' y elige la opción 'Importar datos desde otro navegador'. Sigue las instrucciones para importar los marcadores desde el navegador deseado."
¿Cómo puedo cambiar el motor de búsqueda predeterminado en Firefox?,"Para cambiar el motor de búsqueda predeterminado en Firefox, haz clic en el ícono de búsqueda en la barra de búsqueda en la esquina superior derecha. Luego, selecciona 'Administrar motores de búsqueda' en el menú desplegable. En la ventana de administración de motores de búsqueda, elige el motor de búsqueda que deseas establecer como predeterminado y haz clic en 'Establecer como predeterminado'."
¿Cómo puedo personalizar la página de inicio en Firefox?,"Para personalizar la página de inicio en Firefox, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Preferencias'. En la sección 'Inicio', elige la opción 'Página de inicio' y personaliza la URL que deseas usar como página de inicio. Puedes ingresar una dirección web específica o seleccionar la opción 'Página de inicio en blanco' para una página en blanco al abrir Firefox."
¿Cómo puedo borrar el historial de navegación en Firefox?,"Para borrar el historial de navegación en Firefox, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Historial'. Luego, elige 'Borrar historial de navegación' y selecciona el rango de tiempo que deseas eliminar. Puedes elegir borrar el historial de la última hora, el último día, la última semana o el historial completo. Haz clic en 'Borrar ahora' para eliminar el historial."
¿Cómo puedo configurar Firefox para guardar contraseñas?,"Para configurar Firefox para guardar contraseñas, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Preferencias'. En la sección 'Privacidad y seguridad', desplázate hacia abajo hasta encontrar la opción 'Inicios de sesión y contraseñas'. Asegúrate de que la casilla 'Pedir guardar y rellenar contraseñas' esté marcada. A partir de ese momento, Firefox te pedirá guardar las contraseñas cuando inicies sesión en sitios web."
¿Cómo puedo restablecer Firefox a su configuración predeterminada?,"Para restablecer Firefox a su configuración predeterminada, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Ayuda'. Luego, elige 'Información de solución de problemas'. En la página de información de solución de problemas, haz clic en el botón 'Restablecer Firefox' para volver a la configuración predeterminada. Ten en cuenta que esto borrará tus extensiones y personalizaciones, aunque conservará tus marcadores y datos guardados."
¿Cómo puedo abrir pestañas de navegación privada en Firefox?,"Para abrir pestañas de navegación privada en Firefox, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Nueva ventana privada'. También puedes usar el atajo de teclado Ctrl + Shift + P para abrir una nueva pestaña de navegación privada. Las pestañas de navegación privada no guardarán el historial de navegación, las cookies ni la información de inicio de sesión."
¿Cómo puedo sincronizar mis datos en Firefox?,"Para sincronizar tus datos en Firefox, haz clic en el menú de tres líneas en la esquina superior derecha y selecciona 'Iniciar sesión en Firefox'. Crea una cuenta de Firefox o inicia sesión con una cuenta existente. Luego, selecciona los elementos que deseas sincronizar, como marcadores, historial de navegación, contraseñas y pestañas abiertas. Tus datos se sincronizarán entre los dispositivos en los que hayas iniciado sesión con la misma cuenta de Firefox."
¿Cómo accedo a Microsoft 365 en la nube?,"Puedes acceder a Microsoft 365 en la nube a través de un navegador web. Visita el sitio web de Microsoft 365 (https://www.office.com) e inicia sesión con tu cuenta de Microsoft. Una vez que hayas iniciado sesión, tendrás acceso a las aplicaciones y servicios de Microsoft 365 en línea."
¿Cómo puedo crear un nuevo documento en Microsoft Word en la nube?,"Para crear un nuevo documento en Microsoft Word en la nube, inicia sesión en tu cuenta de Microsoft 365, haz clic en la aplicación 'Word' y luego selecciona 'Nuevo documento'. Se abrirá un nuevo documento en línea que puedes editar y guardar en la nube."
¿Cómo puedo compartir un archivo de Excel en la nube con otros usuarios?,"Para compartir un archivo de Excel en la nube, abre el archivo en Excel en línea, haz clic en 'Archivo' y selecciona 'Compartir'. Luego, ingresa las direcciones de correo electrónico de las personas con las que deseas compartir el archivo y elige los permisos de acceso que deseas otorgarles (por ejemplo, solo lectura, edición, etc.)."
¿Cómo puedo programar una reunión en Microsoft Teams en la nube?,"Para programar una reunión en Microsoft Teams en la nube, inicia sesión en tu cuenta de Microsoft 365, abre la aplicación de Teams y selecciona 'Calendario' en la barra lateral izquierda. Haz clic en el botón 'Programar una reunión' y completa los detalles de la reunión, como la fecha, la hora, los participantes, etc. Luego, haz clic en 'Enviar' para enviar la invitación de reunión."
¿Cómo puedo acceder a mis archivos de OneDrive en la nube desde cualquier dispositivo?,"Puedes acceder a tus archivos de OneDrive en la nube desde cualquier dispositivo con conexión a Internet. Inicia sesión en tu cuenta de Microsoft 365, visita el sitio web de OneDrive (https://www.onedrive.com) o descarga la aplicación de OneDrive en tu dispositivo. Una vez que hayas iniciado sesión, podrás ver y administrar tus archivos almacenados en OneDrive."
¿Cómo puedo realizar una copia de seguridad de mis archivos en la nube con Microsoft 365?,"Microsoft 365 proporciona automáticamente una copia de seguridad de tus archivos en la nube. Todos los documentos, hojas de cálculo, presentaciones y otros archivos guardados en las aplicaciones de Microsoft 365 se guardan en la nube y se sincronizan entre dispositivos. Esto proporciona una protección adicional para tus archivos en caso de pérdida o daño de un dispositivo."
¿Cómo puedo colaborar en tiempo real en un documento de PowerPoint en la nube?,"Para colaborar en tiempo real en un documento de PowerPoint en la nube, inicia sesión en tu cuenta de Microsoft 365, abre el archivo de PowerPoint en línea y comparte el enlace del archivo con las personas con las que deseas colaborar. Todos los colaboradores pueden ver y editar el documento simultáneamente, y los cambios se guardan automáticamente en la nube."
"¿Cómo puedo recuperar una versión anterior de un documento en la nube en Microsoft"" 365?","Para recuperar una versión anterior de un documento en la nube en Microsoft 365, abre el archivo en línea y haz clic en 'Archivo'. Luego, selecciona 'Historial de versiones' y elige la versión anterior que deseas restaurar. Ten en cuenta que esto reemplazará la versión actual del documento con la versión seleccionada."
¿Cómo puedo administrar mi suscripción de Microsoft 365 en la nube?,"Para administrar tu suscripción de Microsoft 365 en la nube, inicia sesión en tu cuenta de Microsoft 365 y visita el sitio web de administración de cuentas (https://account.microsoft.com). Allí, puedes ver y administrar los detalles de tu suscripción, como la renovación, las opciones de pago, los usuarios incluidos, etc."
